destination,city,region,type,activities,budget_category,best_season,rating,popularity_score,description
Changthang Wildlife Sanctuary,Leh District,north,wildlife,wildlife,low,winter,4.0,56.0,"Changthang Wildlife Sanctuary is a wildlife destination in ladakh known for safari,photography,nature. It is ideal for history and cultural lover"
Hall Of Fame,Mumbai,north,city,exploration,low,all,4.8,63.0,"Hall Of Fame is a city destination in ladakh known for exploration,local experience. It is ideal for explorers and tourists"
Stok Palace Museum,Stok,north,city,heritage,medium,all,4.7,54.0,"Stok Palace Museum is a city destination in ladakh known for exploration,local experience. It is ideal for explorers and tourists"
Tso Moriri lake,Mumbai,north,wildlife,wildlife,low,winter,4.0,66.0,"Tso Moriri lake is a wildlife destination in ladakh known for safari,photography,nature. It is ideal for history and cultural lover"
Magnetic hill,Old City,north,wildlife,wildlife,low,winter,4.2,51.0,"Magnetic hill is a wildlife destination in ladakh known for safari,photography,nature. It is ideal for history and cultural lover"
Chemrey Monastery,Chemre,north,religious,religious,low,all,4.3,95.0,"Chemrey Monastery is a religious destination in ladakh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Namgyal Tsemo Monastery,Leh District,north,religious,religious,low,all,4.7,89.0,"Namgyal Tsemo Monastery is a religious destination in ladakh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Thiksey Monastery,Thiksey,north,religious,religious,low,all,4.7,51.0,"Thiksey Monastery is a religious destination in ladakh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Drass Valley,Muradbagh,north,wildlife,wildlife,low,winter,4.9,93.0,"Drass Valley is a wildlife destination in ladakh known for safari,photography,nature. It is ideal for history and cultural lover"
Kargil War Memorial,Bhimbat,north,heritage,heritage,low,winter,4.8,91.0,"Kargil War Memorial is a heritage destination in ladakh known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Yarab Tso,Leh District,north,wildlife,wildlife,low,winter,4.5,59.0,"Yarab Tso is a wildlife destination in ladakh known for safari,photography,nature. It is ideal for history and cultural lover"
Panamik village,Panamik,north,city,exploration,low,all,4.6,77.0,"Panamik village is a city destination in ladakh known for exploration,local experience. It is ideal for explorers and tourists"
Samstanling Monastery,Mumbai,north,religious,religious,low,all,4.9,95.0,"Samstanling Monastery is a religious destination in ladakh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Diskit Monastery,Diskit,north,religious,religious,low,all,4.7,53.0,"Diskit Monastery is a religious destination in ladakh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Tiger Hill,Darjeeling,east,wildlife,wildlife,low,winter,4.5,80.0,"Tiger Hill is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Darjeeling Toy Train,Darjeeling,east,adventure,adventure,high,summer,4.8,72.0,"Darjeeling Toy Train is a adventure destination in west bengal known for trekking,rafting,paragliding. It is ideal for adventure lover"
Chowk Bazaar,Bhopal,east,city,shopping,low,all,4.8,58.0,"Chowk Bazaar is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
"Himalayan Mountaineering Institute(Museum, Library, Souvenir shop)",Gyalshing,east,city,trekking,luxury,all,4.9,81.0,"Himalayan Mountaineering Institute(Museum, Library, Souvenir shop) is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
"Singalila National Park(camping, bird watching)",Darjeeling,east,wildlife,wildlife,low,winter,4.7,89.0,"Singalila National Park(camping, bird watching) is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Kanchenjunga peak,Mangan,east,wildlife,trekking,low,winter,4.9,54.0,"Kanchenjunga peak is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Sandakphu trek,Darjeeling,east,adventure,trekking,luxury,summer,4.4,51.0,"Sandakphu trek is a adventure destination in west bengal known for trekking,rafting,paragliding. It is ideal for adventure lover"
Happy valley tea estate,Darjeeling,east,city,photography,medium,all,4.9,60.0,"Happy valley tea estate is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Lamhatta Eco Park,Rangli Rangliot,east,wildlife,wildlife,low,winter,4.7,68.0,"Lamhatta Eco Park is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Lepchajagat village,Sukhiapokhri,east,city,exploration,low,all,4.2,72.0,"Lepchajagat village is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Mahakal temple,Ujjain,east,religious,religious,low,all,4.8,66.0,"Mahakal temple is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
Everest museum,Koshi Province,east,city,heritage,low,all,4.9,67.0,"Everest museum is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Ring Mall,Darjeeling,east,city,shopping,low,all,4.5,63.0,"Ring Mall is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Padmaja Naidu zoological park,Darjeeling,east,wildlife,wildlife,medium,winter,4.5,59.0,"Padmaja Naidu zoological park is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Nightingale park,Darjeeling,east,city,wildlife,low,all,4.9,79.0,"Nightingale park is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Dali Monastery,Ghoom,east,religious,religious,low,all,4.3,88.0,"Dali Monastery is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
Ghoom monastery market,Ghoom,east,city,shopping,low,all,4.4,80.0,"Ghoom monastery market is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Teesta bazaar,Kalimpong,east,city,shopping,low,all,4.4,77.0,"Teesta bazaar is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Mall road,Soreng,east,city,shopping,low,all,4.9,94.0,"Mall road is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Jaldapara National Park,Madarihat,east,wildlife,wildlife,high,winter,4.4,52.0,"Jaldapara National Park is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Salugara monastery,Siliguri,east,religious,religious,low,all,4.6,83.0,"Salugara monastery is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
ISKON temple,Siliguri,east,religious,religious,low,all,4.4,76.0,"ISKON temple is a religious destination in west bengal known for temple,spiritual,peace. It is ideal for spiritual seekers"
Mahananda Wildlife Sanctuary,Sukna,east,wildlife,wildlife,luxury,winter,4.4,94.0,"Mahananda Wildlife Sanctuary is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Hong Kong market,Hong Kong,east,city,shopping,low,all,4.4,72.0,"Hong Kong market is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
North Bengal Science centre,Darjeeling,east,city,exploration,medium,all,4.3,91.0,"North Bengal Science centre is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Sepoy Dhura Tea garden,Darjeeling,east,city,exploration,low,all,4.2,78.0,"Sepoy Dhura Tea garden is a city destination in west bengal known for exploration,local experience. It is ideal for explorers and tourists"
Sundarbans National Park,South 24 Parganas,east,wildlife,wildlife,medium,winter,4.4,92.0,"Sundarbans National Park is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Sajnekhali Wildlife Sanctuary,West Bengal,east,wildlife,wildlife,luxury,winter,4.4,58.0,"Sajnekhali Wildlife Sanctuary is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Kotka beach,Bagerhat District,east,wildlife,beach,low,winter,4.4,54.0,"Kotka beach is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Hiron point,Mumbai,east,wildlife,wildlife,low,winter,4.2,79.0,"Hiron point is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Dublar Char island,Bagerhat District,east,wildlife,wildlife,low,winter,4.4,58.0,"Dublar Char island is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Bhagatpur crocodile project,Unknown,east,wildlife,wildlife,medium,winter,4.4,81.0,"Bhagatpur crocodile project is a wildlife destination in west bengal known for safari,photography,nature. It is ideal for history and cultural lover"
Katra Masjid,Murshidabad,east,heritage,heritage,low,winter,4.5,58.0,"Katra Masjid is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Hazarduari Palace,Murshidabad,east,heritage,heritage,low,winter,4.4,72.0,"Hazarduari Palace is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Jahan Kosha cannon,Murshidabad,east,heritage,heritage,low,winter,4.5,68.0,"Jahan Kosha cannon is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Murshidabad District museum,Murshidabad,east,heritage,heritage,low,winter,4.4,77.0,"Murshidabad District museum is a heritage destination in west bengal known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Jagannath Temple,Unknown,east,religious,religious,low,all,4.7,84.0,"Jagannath Temple is a religious destination in odisha known for temple,spiritual,peace. It is ideal for spiritual seekers"
Puri beach,Puri,east,wildlife,beach,low,winter,4.6,64.0,"Puri beach is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Raghurajpur Artist village,Raghurajpur,east,city,exploration,low,all,4.4,51.0,"Raghurajpur Artist village is a city destination in odisha known for exploration,local experience. It is ideal for explorers and tourists"
Chilika lake,Batagaon,east,wildlife,wildlife,low,winter,4.4,56.0,"Chilika lake is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Konark Sun Temple,Khordha,east,religious,religious,low,all,3.9,96.0,"Konark Sun Temple is a religious destination in odisha known for temple,spiritual,peace. It is ideal for spiritual seekers"
Chandrabhaga beach,Konark,east,wildlife,beach,low,winter,4.2,68.0,"Chandrabhaga beach is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Lingaraj Temple,Jagatsinghapur,east,heritage,religious,low,winter,4.9,54.0,"Lingaraj Temple is a heritage destination in odisha known for culture,forts,shopping,history. It is ideal for history and culture lovers"
ASI Museum,Chandrapur,east,city,heritage,luxury,all,4.9,74.0,"ASI Museum is a city destination in odisha known for exploration,local experience. It is ideal for explorers and tourists"
Ramchandi beach and water sports,Konark,east,wildlife,beach,low,winter,4.2,96.0,"Ramchandi beach and water sports is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Jagannath Temple,Mayurbhanj,east,religious,religious,low,all,3.9,64.0,"Jagannath Temple is a religious destination in odisha known for temple,spiritual,peace. It is ideal for spiritual seekers"
Indira Gandhi Park,Sundargarh,east,city,wildlife,low,all,4.0,54.0,"Indira Gandhi Park is a city destination in odisha known for exploration,local experience. It is ideal for explorers and tourists"
Pitamahal dam,Rourkela,east,wildlife,wildlife,low,winter,3.6,59.0,"Pitamahal dam is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
VIP market,Sundargarh,east,city,shopping,low,all,4.0,74.0,"VIP market is a city destination in odisha known for exploration,local experience. It is ideal for explorers and tourists"
Hanuman Vatika garden,Rourkela,east,city,exploration,low,all,4.9,67.0,"Hanuman Vatika garden is a city destination in odisha known for exploration,local experience. It is ideal for explorers and tourists"
Khandadhar Waterfall,Sundargarh,east,wildlife,wildlife,low,winter,4.5,94.0,"Khandadhar Waterfall is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Odisha State Maritime museum,Nayagarh,east,city,heritage,low,all,4.2,58.0,"Odisha State Maritime museum is a city destination in odisha known for exploration,local experience. It is ideal for explorers and tourists"
Bhitarkanika Wildlife Sanctuary,Cuttack,east,wildlife,wildlife,low,winter,4.6,77.0,"Bhitarkanika Wildlife Sanctuary is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
State Botanical garden,Cuttack,east,wildlife,wildlife,medium,winter,4.2,81.0,"State Botanical garden is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Deer Park,Cuttack,east,wildlife,wildlife,low,winter,4.9,73.0,"Deer Park is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Netaji museum,Cuttack,east,city,heritage,low,all,4.8,96.0,"Netaji museum is a city destination in odisha known for exploration,local experience. It is ideal for explorers and tourists"
Dhabaleshwar Island,Cuttack,east,city,exploration,low,all,4.5,70.0,"Dhabaleshwar Island is a city destination in odisha known for exploration,local experience. It is ideal for explorers and tourists"
Barabati Fort,Cuttack,east,heritage,heritage,low,winter,4.5,68.0,"Barabati Fort is a heritage destination in odisha known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Hirakud Dam,Patna,east,wildlife,wildlife,low,winter,4.5,65.0,"Hirakud Dam is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Debrigarh Wildlife Sanctuary,Nuabatimunda,east,wildlife,wildlife,low,winter,4.8,79.0,"Debrigarh Wildlife Sanctuary is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Ghanteswari temple,Sambalpur,east,religious,religious,low,all,4.0,55.0,"Ghanteswari temple is a religious destination in odisha known for temple,spiritual,peace. It is ideal for spiritual seekers"
Gudguda waterfall,Sambalpur,east,wildlife,wildlife,low,winter,4.7,66.0,"Gudguda waterfall is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Khasada waterfall,Lakitipadar,east,wildlife,wildlife,low,winter,4.4,53.0,"Khasada waterfall is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Aryapalli beach,Gajapati,east,wildlife,beach,low,winter,4.9,77.0,"Aryapalli beach is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Bada bazaar,Brahmapur,east,city,shopping,low,all,4.1,90.0,"Bada bazaar is a city destination in odisha known for exploration,local experience. It is ideal for explorers and tourists"
Sana bazaar,Brahmapur,east,city,shopping,low,all,3.9,76.0,"Sana bazaar is a city destination in odisha known for exploration,local experience. It is ideal for explorers and tourists"
Gopalpur Beach,Brahmapur,east,wildlife,beach,low,winter,4.0,99.0,"Gopalpur Beach is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Tara Tarini Temple,Brahmapur,east,religious,religious,low,all,4.6,87.0,"Tara Tarini Temple is a religious destination in odisha known for temple,spiritual,peace. It is ideal for spiritual seekers"
Hadargarh reservoir,Debagarh,east,wildlife,wildlife,low,winter,3.9,72.0,"Hadargarh reservoir is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Gundichaghagi waterfall,Kendujhar,east,wildlife,wildlife,low,winter,4.3,72.0,"Gundichaghagi waterfall is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Sitabinji Fresco painting and rock inscription,Dhenkikote,east,heritage,heritage,low,winter,4.9,76.0,"Sitabinji Fresco painting and rock inscription is a heritage destination in odisha known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Sanaghagara Waterfall,Kendujhar,east,wildlife,wildlife,low,winter,4.3,61.0,"Sanaghagara Waterfall is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Balaramgadi beach,Khannagar,east,wildlife,beach,low,winter,4.4,68.0,"Balaramgadi beach is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Kuldiha Wildlife sanctuary,Mahuldiha,east,wildlife,wildlife,low,winter,4.9,71.0,"Kuldiha Wildlife sanctuary is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Chandipur Beach,Baleshwar,east,wildlife,beach,low,winter,4.2,81.0,"Chandipur Beach is a wildlife destination in odisha known for safari,photography,nature. It is ideal for history and cultural lover"
Marina Beach,Unknown,south,wildlife,beach,low,winter,3.9,81.0,"Marina Beach is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Mahabalipuram,Unknown,south,heritage,heritage,low,winter,4.8,75.0,"Mahabalipuram is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Pondy bazaar,Palanjur,south,city,shopping,low,all,4.0,84.0,"Pondy bazaar is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Birla Planetarium,Mandla,south,city,exploration,low,all,4.8,87.0,"Birla Planetarium is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
National Art gallery,Unknown,south,city,exploration,low,all,4.2,68.0,"National Art gallery is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Ubbalamadugu falls,Unknown,south,wildlife,wildlife,low,winter,4.4,97.0,"Ubbalamadugu falls is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Pulicat lake,Pudumavilangai,south,wildlife,wildlife,low,winter,4.7,90.0,"Pulicat lake is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Barracuda bay(fishing),Chennai,south,adventure,wildlife,low,summer,4.9,72.0,"Barracuda bay(fishing) is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
Scuba diving at Covelong beach,Kovalam,south,adventure,beach,luxury,summer,4.6,63.0,"Scuba diving at Covelong beach is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
Adventure sports at Covelong beach,Kovalam,south,adventure,beach,luxury,summer,4.9,81.0,"Adventure sports at Covelong beach is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
Arignar Anna Zoological park,Chennai,south,wildlife,wildlife,medium,winter,4.3,77.0,"Arignar Anna Zoological park is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Dakshinachitra museum,Thirumazhisai,south,heritage,heritage,medium,winter,3.9,81.0,"Dakshinachitra museum is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
MGR Film city,Chennai,south,city,exploration,luxury,all,4.7,95.0,"MGR Film city is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Thiruparankundram temple,Chennai,south,religious,religious,low,all,4.1,62.0,"Thiruparankundram temple is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Meghamalai,Point Pedro,south,wildlife,wildlife,low,winter,4.1,80.0,"Meghamalai is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Alagar Kovil temple,Madurai,south,religious,religious,low,all,3.8,84.0,"Alagar Kovil temple is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Vaigai dam,Madurai,south,city,exploration,low,all,4.1,94.0,"Vaigai dam is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Gandhi memorial museum,Madurai,south,heritage,heritage,low,winter,3.9,81.0,"Gandhi memorial museum is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Banana market,Jakkammalpatty,south,city,shopping,medium,all,4.0,94.0,"Banana market is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Jain caves,Madurai,south,heritage,heritage,low,winter,4.8,81.0,"Jain caves is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
 Thirumalai Nayak palace,Madurai,south,heritage,heritage,high,winter,4.9,74.0," Thirumalai Nayak palace is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
St. Mary's cathedral,Madurai,south,religious,religious,low,all,4.9,55.0,"St. Mary's cathedral is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Shopping at Puthu Mandapam,Madurai,south,city,shopping,low,all,4.0,66.0,"Shopping at Puthu Mandapam is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Meenakshi Amman Temple,Madurai,south,religious,religious,low,all,3.9,83.0,"Meenakshi Amman Temple is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Sea world aquarium,Madurai,south,wildlife,beach,low,winter,4.7,84.0,"Sea world aquarium is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Rameswaram lighthouse,Pudur,south,city,exploration,low,all,4.1,53.0,"Rameswaram lighthouse is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Kalam national memorial,Rameswaram,south,heritage,heritage,low,winter,4.7,78.0,"Kalam national memorial is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Water bird Sanctuary,Natarajapuram,south,wildlife,wildlife,low,winter,4.2,69.0,"Water bird Sanctuary is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Ariyaman beach,Unknown,south,adventure,beach,low,summer,4.5,84.0,"Ariyaman beach is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
Agni teertham sacred bath,Pune District,south,religious,religious,low,all,4.8,57.0,"Agni teertham sacred bath is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Kothandaramaswamy Temple,Pirappanvalasai,south,religious,religious,low,all,4.0,60.0,"Kothandaramaswamy Temple is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Ramanathaswamy Temple,Natarajapuram,south,religious,religious,low,all,3.9,93.0,"Ramanathaswamy Temple is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Thiruvalluvar Statue,Unknown,south,heritage,heritage,low,winter,4.6,70.0,"Thiruvalluvar Statue is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Padmanabhapuram palace,Kanyakumari,south,heritage,heritage,low,winter,4.1,63.0,"Padmanabhapuram palace is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Triveni Sangam,Kanyakumari,south,heritage,heritage,low,winter,4.7,93.0,"Triveni Sangam is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Sannathi Street shopping,Nagercoil,south,city,shopping,low,all,3.9,74.0,"Sannathi Street shopping is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Courtallam falls,Kanyakumari,south,wildlife,wildlife,low,winter,4.8,51.0,"Courtallam falls is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Vattakottai fort,Kavalakurichi,south,heritage,heritage,low,winter,4.6,78.0,"Vattakottai fort is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
St.Xavier Church,Kadiapattanam,south,religious,religious,low,all,4.2,93.0,"St.Xavier Church is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Kumari Amman temple,Aru,south,religious,religious,low,all,4.6,71.0,"Kumari Amman temple is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Ooty Lake,Pallam,south,wildlife,wildlife,low,winter,4.7,65.0,"Ooty Lake is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Marudamalai Temple,Nallampatti,south,religious,religious,low,all,4.7,53.0,"Marudamalai Temple is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Trek to Dhoni hills,Sholayur,south,adventure,trekking,low,summer,4.5,81.0,"Trek to Dhoni hills is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
Trek to Perumal peak,Dhaliyur,south,adventure,trekking,low,summer,4.7,71.0,"Trek to Perumal peak is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
Trek to Thalaiyar falls,Coimbatore,south,adventure,trekking,low,summer,4.3,95.0,"Trek to Thalaiyar falls is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
Black Thunder amusement park,Coimbatore,south,adventure,wildlife,low,summer,4.6,69.0,"Black Thunder amusement park is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
Brookefields mall,Odanthurai,south,city,shopping,medium,all,4.4,84.0,"Brookefields mall is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Adiyogi Shiva Statue ,Coimbatore,south,religious,religious,low,all,4.7,75.0,"Adiyogi Shiva Statue  is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Racing events at Chettipalayam,Madukkarai,south,adventure,adventure,low,summer,4.4,80.0,"Racing events at Chettipalayam is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
GeDee Car museum tour,Coimbatore,south,heritage,heritage,low,winter,4.5,97.0,"GeDee Car museum tour is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Textile museum tour ,Coimbatore,south,city,heritage,low,all,4.7,94.0,"Textile museum tour  is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Anamalai Wildlife Sanctuary,Coimbatore,south,wildlife,wildlife,low,winter,4.7,96.0,"Anamalai Wildlife Sanctuary is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Valankulam lake,Coimbatore,south,city,photography,low,all,4.5,60.0,"Valankulam lake is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Velliangiri hills,Kalangal,south,adventure,adventure,low,summer,4.6,70.0,"Velliangiri hills is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
TNAU Botanical gardens,Podanur,south,city,exploration,medium,all,4.5,55.0,"TNAU Botanical gardens is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Nilgiri Biosphere Nature Park ,Coimbatore,south,wildlife,wildlife,low,winter,4.6,97.0,"Nilgiri Biosphere Nature Park  is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Maryoor hilly getaway,Coimbatore,south,city,exploration,low,all,4.1,99.0,"Maryoor hilly getaway is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Kodaikanal Lake,Coimbatore,south,city,photography,low,all,3.8,71.0,"Kodaikanal Lake is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Night Safari,Upasi,south,adventure,adventure,low,summer,4.3,70.0,"Night Safari is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
Stroll at Coaker's Walk,Kodaikanal,south,city,exploration,low,all,4.3,91.0,"Stroll at Coaker's Walk is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Dolphin's Nose,Kodaikanal,south,wildlife,wildlife,low,winter,4.6,70.0,"Dolphin's Nose is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Bear Shola falls,Vattakanal,south,wildlife,wildlife,low,winter,4.6,79.0,"Bear Shola falls is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Bryant park,Poombarai,south,city,wildlife,medium,all,4.8,64.0,"Bryant park is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Berijam lake,Kodaikanal,south,wildlife,wildlife,low,winter,4.7,51.0,"Berijam lake is a wildlife destination in tamil nadu known for safari,photography,nature. It is ideal for history and cultural lover"
Guna caves,Dindigul,south,adventure,adventure,low,summer,4.5,87.0,"Guna caves is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
La Saleth Church,Dindigul,south,religious,religious,low,all,4.6,80.0,"La Saleth Church is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Hike to Pillars of Nature,Kodaikanal,south,adventure,wildlife,luxury,summer,4.5,97.0,"Hike to Pillars of Nature is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
Brihadeeswarar Temple,Kodaikanal,south,religious,religious,low,all,4.1,60.0,"Brihadeeswarar Temple is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
